行の説明	N	駅名	発	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189
号				201	203	205	207	89	89	209	1	211	3	5	71	7	213	9	73	11	13	75	15	17	19	215	21	23	25	217	27	29	219	31	33	35	221	37	223	39	41	41	43	225	45	77	47	227	49	79	51	81	53	55	57	83	59	85	197	199	151	101	153	155	103	157	159	105	161	107	163	109	165	111	167	113	169	115	171	117	173	119	175	177	121	179	181	123	183	185	125	187	127	189	129	191	131	193	251	253	255	401	257	403	259	405	407	409	411	413	415	261	417	263	419	265	421	267	423	269	425	427	429	431	433	435	437	439	301	303	305	307	309	311	313	315	317	319	321	323	325	327	329	331	333	335	337	339	341	343	345	399	389	391	393	395	351	353	355	357	359	361	363	365	367	397	369	371	373	375	377	379	381	383	385	451	453	455	457	459	461	463	465	467	469	471	473	475	477	479	481	483
種別11											みや		みや	みや	みや	みや		みや	みや	みや	みや	みや	みや	みや	みや		みや	みや	みや		みや	みや		みや	みや	みや		みや		みや	みや		みや		みや	みや	みや		みや	みや	みや	みや	みや	みや	みや	みや	みや	みや		わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか		のば		すず	のば	すず	のば	すず	すず	すず	すず	すず	すず		すず	のば	すず	のば	すず	のば	すず	のば	すず	すず	すず	すず	すず	すず	すず	すず	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	こや	こや	こや	こや	こや	こや	こや	こや	こや	こや	こや	こや	こや	こや	こや	こや	こや
種別12											みや			みや		つば				みや			つば	みや				みや				みや			みや			みや			みや				みや						みや				つば							たに			たに			たに		たに		たに		たに		たに		たに		たに		たに			たに			たに			たに		たに		たに		たに																																																																																															
種別13											みや			みや						みや				みや				みや				みや			みや			みや			つば				みや						みや																																																																																																																																													
両数10											17		17	17	17	17		17	17	17	17	17	17	17	17		17	17	17		17	17		17	17	17		17		17	17		17		17	17	17		17	17	17	17	17	17	17	17	17	17		10	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16		6		16	6	16	6	16	16	16	16	16	16		16	6	16	6	16	6	16	6	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
始発10											明島		明島	明島	明島	明島		明島	明島	明島	明島	明島	明島	明島	明島		明島	明島	明島		明島	明島		明島	明島	明島		明島		明島	明島		明島		明島	明島	明島		明島	明島	明島	明島	明島	明島	明島	明島	明島	明島		橋掛	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島		橋掛		明島	橋掛	明島	橋掛	明島	明島	明島	明島	明島	明島		明島	橋掛	明島	橋掛	明島	橋掛	明島	橋掛	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	金里	茂山	橋掛	橋掛	橋掛	明島	明島	明島	明島	明島	明島	明島	明島	明島	橋掛	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島
終着11											鶴原		船尻	鶴原	宝川	船尻		船尻	宝川	鶴原	船尻	宝川	船尻	鶴原	船尻		船尻	鶴原	船尻		船尻	鶴原		船尻	鶴原	船尻		鶴原		船尻	鶴原		船尻		鶴原	宝川	船尻		船尻	宝川	鶴原	宝川	船尻	船尻	船尻	宝川	船尻	宝川		船尻	宝川	船尻	宝川	宝川	船尻	宝川	宝川	船尻	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	船尻	宝川	宝川	船尻	宝川	宝川	船尻	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	岩口	岩口		谷田		岩口	谷田	岩口	谷田	岩口	岩口	岩口	岩口	岩口	岩口		岩口	谷田	岩口	谷田	岩口	谷田	岩口	谷田	岩口	岩口	岩口	豊石	橋掛	橋掛	橋掛	橋掛	石鳥	石鳥	石鳥	塩野	石鳥	塩野	石鳥	石鳥	石鳥	石鳥	石鳥	石鳥	石鳥	石鳥	石鳥	石鳥	石鳥	石鳥	塩野	石鳥	塩野	石鳥	塩野	石鳥	石鳥	石鳥	塩野	塩野	塩野	塩野	塩野	塩野	塩野	塩野	塩野	石鳥	石鳥	石鳥	塩野	塩野	塩野	鳴谷	塩野	塩野	石鳥	塩野	鳴谷	湯加土	茂山	茂山	湯加土	茂山	茂山	湯加土	茂山	茂山	茂山	茂山	茂山	茂山	茂山	茂山	茂山	茂山
終着12											扇崎			扇崎		布坂				扇崎			布坂	扇崎				扇崎				扇崎			扇崎			扇崎			扇崎				扇崎						扇崎				布坂							谷田			谷田			谷田		谷田		谷田		谷田		谷田		谷田		谷田		谷田			谷田			谷田			谷田		谷田		谷田		谷田																																																																																															
終着13											船尻			船尻						船尻				船尻				船尻				船尻			船尻			船尻			布坂				船尻						船尻																																																																																																																																													
明島1	1	明島	発								6:02		6:32	6:52	7:02	7:32		7:52	8:02	8:32	8:52	9:02	9:32	10:02	10:32		11:02	11:32	12:02		12:32	13:02		13:32	14:02	14:32		15:02		15:32	16:02		16:32		16:52	17:02	17:32		17:52	18:02	18:32	18:52	19:02	19:32	20:02	20:32	21:07	22:02			6:07	6:42	7:12	7:22	7:42	8:12	8:22	8:42	9:12	9:37	10:12	10:42	11:12	11:42	12:12	12:42	13:12	13:42	14:12	14:42	15:12	15:42	16:12	16:22	16:42	17:12	17:22	17:42	18:12	18:22	18:42	19:12	19:42	20:12	20:42	21:12	21:32	22:12				6:19		7:17		8:17	9:17	10:17	11:17	12:17	13:17		14:17		15:17		16:17		17:17		18:17	19:17	20:17	21:02	21:42	22:22	22:37	22:57	6:27	6:57	7:27	7:57	8:27	8:57	9:27	10:22	11:22	12:22	13:22	14:22	15:22	16:27	16:57	17:27	17:57	18:27	18:57	19:27	19:57	20:47	21:27						6:37	7:37	8:37	9:42	10:37	11:37	12:37	13:37	14:37		15:37	16:07	16:37	17:07	17:37	18:37	19:37	20:37	21:57	6:47	7:47	8:47	9:52	10:52	11:52	12:52	13:52	14:52	15:52	16:47	17:47	18:47	19:47	20:57	21:37	22:17
