行の説明	N	駅名	発	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188
号				70	2	72	4	74	6	8	76	10	12	200	14	16	202	18	20	204	22	24	26	28	206	30	32	34	36	208	80	38	40	82	42	44	84	210	46	48	86	50	50	52	212	54	56	214	58	216	60	218	88	220	222	224	226	150	100	152	154	102	156	158	104	196	106	160	108	162	110	164	112	166	114	168	116	170	118	172	174	176	120	178	180	122	182	184	124	186	126	188	128	190	130	192	198	400	402	404	406	408	410	250	412	252	414	254	416	418	420	422	424	426	428	256	430	258	432	260	434	436	262	438	264	266	268	300	302	304	306	308	310	312	314	316	318	320	322	324	326	328	330	332	334	336	338	340	342	344	350	352	354	356	358	360	362	364	366	368	370	372	374	388	376	390	378	392	380	382	384	394	396	398	450	452	454	456	458	460	462	464	466	468	470	472	474	476	478	480	482
種別70				みや	みや	みや	みや	みや	つば	みや	みや	つば	みや	ささ	みや	みや	ささ	みや	みや	ささ	みや	みや	みや	みや	ささ	みや	みや	みや	つば	ささ	みや	みや	みや	みや	みや	みや	みや	ささ	みや	みや	みや	つば	みや	みや	ささ	みや	みや	ささ	みや	ささ	みや	ささ	みや	ささ	ささ	ささ	ささ	わか	たに	わか	わか	たに	わか	わか	たに	わか	たに	わか	たに	わか	たに	わか	たに	わか	たに	わか	たに	わか	たに	わか	わか	わか	たに	わか	わか	たに	わか	わか	たに	わか	たに	わか	たに	わか	たに	わか	わか	すず	すず	すず	すず	すず	すず	のば	すず	のば	すず	のば	すず	すず	すず	すず	すず	すず	すず	のば	すず	のば	すず	のば	すず	すず	のば	すず	のば	のば	のば	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	こや	こや	こや	こや	こや	こや	こや	こや	こや	こや	こや	こや	こや	こや	こや	こや	こや
両数70																																																																																																																																16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
始発70																																																																																																																																塩野	石鳥	石鳥	石鳥	石鳥	塩野	石鳥	石鳥	石鳥	石鳥	石鳥	石鳥	塩野	石鳥	塩野	塩野	石鳥	石鳥	石鳥	石鳥	石鳥	石鳥	石鳥	鳴谷	鳴谷	石鳥	塩野	塩野	塩野	石鳥	塩野	塩野	塩野	塩野	塩野	塩野	石鳥	塩野	塩野	塩野	塩野	塩野	石鳥	石鳥	塩野	石鳥	石鳥	茂山	茂山	茂山	茂山	茂山	湯加土	茂山	茂山	湯加土	茂山	茂山	湯加土	茂山	茂山	茂山	茂山	茂山
終着70																																																																																																																																明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	橋掛	明島	橋掛	明島	橋掛	明島	明島	明島	橋掛	茂山	金里	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島
石鳥1	82	石鳥	発																																																																																																																														6:28	6:54	7:25	7:54		8:52	9:53	10:45	11:53	12:49	13:45		14:54			16:25	16:54	17:28	17:58	18:52	19:52	20:49			6:00				9:15							15:37						19:09	20:10		22:14	23:14																	
飯野1	81	飯野	発																																																																																																																														ﾚ	7:05	7:36	8:05		ﾚ	10:04	10:56	12:04	13:00	13:56		15:05			16:36	17:05	ﾚ	18:09	ﾚ	ﾚ	21:00			6:11				9:26							15:48						19:20	20:21		22:25	23:25																	
塩野0	80	塩野	着																																																																																																																														6:44	7:13	7:44	8:13		9:08	10:12	11:04	12:12	13:08	14:04		15:13			16:44	17:13	17:44	18:17	19:08	20:08	21:08			6:19				9:34							15:56						19:28	20:29		22:33	23:33																	
塩野1	80	塩野	発																																																																																																																													6:14	6:45	7:14	7:45	8:14	8:45	9:09	10:13	11:05	12:13	13:09	14:05	14:45	15:14	15:45	16:14	16:45	17:14	17:45	18:18	19:09	20:09	21:09			6:20	6:59	7:26	8:27	9:35	10:29	11:35	12:32	13:32	14:20	15:26	15:57	16:20	16:59	17:20	17:57	18:29	19:29	20:30	21:34	22:34	23:34																	
金里1	79	金里	発																																																																																																																													6:27	6:58	7:27	7:58	8:27	8:58	9:22	10:26	11:18	12:26	13:22	14:18	14:58	15:27	15:58	16:27	16:58	17:27	17:58	18:31	19:22	20:22	21:22			6:33	7:12	7:39	8:40	9:48	10:42	11:48	12:45	13:45	14:33	15:39	16:10	16:33	17:12	17:33	18:10	18:42	19:42	20:43	21:47	22:47	23:46																	
師熊1	78	師熊	発																																																																																																																													ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ			6:43	7:22	7:49	8:50	9:58	10:52	11:58	12:55	13:55	14:43	15:49	16:20	16:43	17:22	17:43	18:20	18:52	19:52	20:53	21:57	22:57	=																	
雁馬平1	77	雁馬平	発																																																																																																																													ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ			6:53	ﾚ	7:59	9:00	ﾚ	11:02	ﾚ	13:05	ﾚ	14:53	ﾚ	ﾚ	16:53	ﾚ	17:53	ﾚ	19:02	20:02	21:03	22:07	23:07																		
